data_utworzenia,liczba_wnioskow
2014-12-21,19
2015-08-07,55
2017-06-13,32
2015-05-06,21
2015-06-15,35
2014-11-19,23
2016-08-28,1
2017-10-13,13
2013-10-28,42
2013-12-18,14
2017-01-19,49
2016-12-10,7
2017-08-26,1
2017-01-24,25
2017-02-09,17
2016-02-29,4
2015-11-19,140
2017-07-05,49
2013-10-19,12
2015-02-27,26
2014-10-27,63
2014-04-10,14
2015-04-28,30
2014-03-19,14
2015-03-10,42
2015-10-29,618
2014-10-19,14
2014-03-12,14
2015-01-28,31
2015-01-31,14
2017-04-14,57
2013-07-09,2
2015-08-09,51
2014-12-12,16
2013-09-03,3
2014-01-24,1
2015-03-15,15
2014-04-14,16
2015-10-17,31
2017-11-16,22
2014-12-07,17
2016-04-06,1
2015-10-04,42
2016-03-07,2
2015-01-06,55
2014-09-27,20
2014-05-22,22
2015-01-02,27
2015-07-28,123
2015-06-20,17
2016-03-18,17
2015-04-05,16
2014-07-25,41
2014-10-08,29
2014-03-15,14
2015-01-16,54
2014-05-11,18
2013-11-05,8
2016-06-17,3
2015-10-16,38
2016-10-28,5
2017-08-23,13
2015-01-11,29
2015-03-13,15
2017-10-25,31
2016-02-08,9
2017-07-04,54
2017-11-24,14
2017-08-07,18
2016-05-24,9
2013-12-13,3
2017-10-31,13
2016-05-08,12
2015-03-26,18
2016-08-26,8
2014-12-29,37
2016-07-01,3
2016-01-18,6
2015-05-16,16
2017-11-30,13
2015-07-07,115
2016-11-22,14
2013-09-19,1
2017-04-18,44
2017-10-12,10
2014-12-26,14
2016-05-16,25
2015-09-22,131
2015-08-27,84
2016-09-21,10
2014-11-02,19
2017-02-17,86
2014-08-24,35
2016-04-17,1
2015-06-29,52
2015-07-21,115
2016-11-11,1
2014-05-14,35
2014-01-05,17
2017-07-13,35
2013-11-10,6
2015-01-25,29
2014-08-10,30
2017-08-21,21
2014-03-17,14
2016-04-26,16
2016-07-20,9
2015-01-05,46
2013-10-01,11
2016-05-23,17
2013-12-12,5
2016-02-06,3
2014-10-11,23
2016-03-03,2
2016-04-14,2
2015-05-22,36
2014-09-18,44
2014-01-14,14
2014-08-13,142
2017-07-12,27
2017-07-19,28
2013-11-25,13
2016-12-29,26
2013-04-30,1
2015-02-05,41
2013-01-10,1
2014-01-17,13
2017-11-22,4
2015-12-03,3
2013-08-22,1
2015-10-21,54
2017-12-11,14
2014-12-05,16
2016-05-05,13
2016-10-06,15
2014-04-06,12
2017-08-08,14
2014-03-08,16
2015-06-05,20
2015-09-25,82
2015-07-13,133
2017-05-04,16
2016-07-07,8
2017-04-28,38
2014-03-31,36
2016-01-07,7
2017-04-20,34
2013-03-28,1
2014-02-04,2
2016-03-02,10
2015-10-27,41
2014-05-01,14
2015-05-31,36
2017-09-12,10
2017-01-02,4
2014-02-24,9
2017-03-08,17
2015-10-14,46
2017-03-27,36
2017-06-16,54
2017-10-09,33
2017-04-13,27
2017-02-01,6
2015-09-23,160
2017-07-09,2
2014-12-28,24
2017-11-07,7
2014-06-23,33
2014-04-11,14
2017-10-11,13
2014-05-12,39
2014-08-05,50
2016-08-17,6
2014-08-07,32
