to_char,powod_operatora,count,count,proc
2016-03,pogoda,29,222,0.13063063063063063063
2016-03,strajk,15,222,0.06756756756756756757
2016-04,brak powodu,180,267,0.67415730337078651685
2016-04,pogoda,56,267,0.20973782771535580524
2016-04,strajk,31,267,0.1161048689138576779
2016-05,brak powodu,227,358,0.6340782122905027933
2016-05,pogoda,113,358,0.31564245810055865922
2016-05,strajk,18,358,0.05027932960893854749
2016-06,brak powodu,75,142,0.52816901408450704225
2016-06,pogoda,49,142,0.34507042253521126761
2016-06,strajk,18,142,0.12676056338028169014
2016-07,brak powodu,100,165,0.60606060606060606061
2016-07,pogoda,45,165,0.27272727272727272727
2016-07,strajk,20,165,0.12121212121212121212
2016-08,brak powodu,91,134,0.67910447761194029851
2016-08,pogoda,19,134,0.14179104477611940299
2016-08,strajk,24,134,0.17910447761194029851
2016-09,brak powodu,144,211,0.68246445497630331754
2016-09,pogoda,22,211,0.10426540284360189573
2016-09,strajk,45,211,0.21327014218009478673
2016-10,brak powodu,119,220,0.54090909090909090909
2016-10,pogoda,13,220,0.05909090909090909091
2016-10,strajk,88,220,0.4
2016-11,brak powodu,184,212,0.86792452830188679245
2016-11,pogoda,12,212,0.05660377358490566038
2016-11,strajk,16,212,0.07547169811320754717
2016-12,brak powodu,79,620,0.12741935483870967742
2016-12,pogoda,528,620,0.85161290322580645161
2016-12,strajk,13,620,0.02096774193548387097
2017-01,brak powodu,113,663,0.17043740573152337858
2017-01,pogoda,535,663,0.80693815987933634992
2017-01,strajk,15,663,0.02262443438914027149
2017-02,brak powodu,123,686,0.17930029154518950437
2017-02,pogoda,533,686,0.77696793002915451895
2017-02,strajk,30,686,0.04373177842565597668
2017-03,brak powodu,109,565,0.19292035398230088496
2017-03,pogoda,387,565,0.68495575221238938053
2017-03,strajk,69,565,0.12212389380530973451
2017-04,brak powodu,196,605,0.32396694214876033058
2017-04,pogoda,391,605,0.64628099173553719008
2017-04,strajk,18,605,0.02975206611570247934
2017-05,brak powodu,148,731,0.20246238030095759234
2017-05,pogoda,549,731,0.75102599179206566347
2017-05,strajk,34,731,0.04651162790697674419
2017-06,brak powodu,130,745,0.17449664429530201342
2017-06,pogoda,587,745,0.78791946308724832215
2017-06,strajk,28,745,0.03758389261744966443
2017-07,brak powodu,184,689,0.26705370101596516691
2017-07,pogoda,451,689,0.65457184325108853411
2017-07,strajk,54,689,0.07837445573294629898
2017-08,brak powodu,126,433,0.2909930715935334873
2017-08,pogoda,291,433,0.67205542725173210162
2017-08,strajk,16,433,0.03695150115473441109
2017-09,brak powodu,90,380,0.23684210526315789474
2017-09,pogoda,267,380,0.70263157894736842105
2017-09,strajk,23,380,0.06052631578947368421
2017-10,brak powodu,67,340,0.19705882352941176471
2017-10,inne pociagi,1,340,0.00294117647058823529
2017-10,pogoda,251,340,0.73823529411764705882
2017-10,strajk,21,340,0.06176470588235294118
2017-11,brak powodu,37,306,0.12091503267973856209
2017-11,pogoda,250,306,0.8169934640522875817
2017-11,strajk,19,306,0.06209150326797385621
2017-12,brak powodu,28,319,0.08777429467084639498
2017-12,pogoda,286,319,0.89655172413793103448
2017-12,strajk,5,319,0.01567398119122257053
2018-01,brak powodu,49,340,0.14411764705882352941
2018-01,pogoda,265,340,0.77941176470588235294
2018-01,strajk,26,340,0.07647058823529411765
2018-02,brak powodu,23,107,0.21495327102803738318
2018-02,pogoda,71,107,0.6635514018691588785
2018-02,strajk,13,107,0.12149532710280373832
