data,id
2014-01-01,1108
2014-01-01,1112
2014-01-01,974
2014-01-01,1318
2014-01-01,235
2014-01-01,1022
2014-01-01,1174
2014-01-01,32
2014-01-01,264
2014-01-01,1074
2014-01-01,616
2014-01-01,102
2014-01-01,1049
2014-01-01,16
2014-01-01,71
2014-01-01,1165
2014-01-01,245
2014-01-01,1072
2014-01-01,1240
2014-01-01,1084
2014-01-01,1166
2014-01-01,910
2014-01-01,1034
2014-01-01,744
2014-01-01,1314
2014-01-01,840
2014-01-01,1032
2014-01-01,874
2014-01-01,1168
2014-01-01,1073
2014-01-01,304
2014-01-01,118
2014-01-01,466
2014-01-01,456
2014-01-01,57
2014-01-01,1071
2014-01-01,284
2014-01-01,1270
2014-01-01,1085
2014-01-01,360
2014-01-01,994
2014-01-01,1124
2014-01-01,880
2014-02-01,1575
2014-02-01,807
2014-02-01,1679
2014-02-01,918
2014-02-01,40
2014-02-01,1251
2014-02-01,1694
2014-02-01,1035
2014-02-01,1810
2014-02-01,1509
2014-02-01,1695
2014-02-01,1650
2014-02-01,1589
2014-02-01,919
2014-02-01,1055
2014-02-01,133
2014-02-01,584
2014-02-01,815
2014-02-01,1161
2014-02-01,900
2014-02-01,1242
2014-02-01,1011
2014-02-01,1436
2014-02-01,835
2014-02-01,971
2014-02-01,358
2014-02-01,1617
2014-02-01,1104
2014-02-01,1549
2014-02-01,912
2014-02-01,1208
2014-02-01,287
2014-02-01,1132
2014-03-01,2001
2014-03-01,1753
2014-03-01,283
2014-03-01,1805
2014-03-01,1187
2014-03-01,1158
2014-03-01,1637
2014-03-01,2364
2014-03-01,1693
2014-04-01,2821
2014-04-01,2805
2014-04-01,2479
2014-04-01,1129
2014-04-01,2356
2014-04-01,367
2014-04-01,3098
2014-04-01,2938
2014-04-01,1665
2014-04-01,3429
2014-04-01,1701
2014-04-01,1654
2014-04-01,413
2014-04-01,2054
2014-04-01,2156
2014-04-01,359
2014-04-01,3178
2014-04-01,2326
2014-04-01,2551
2014-04-01,3690
2014-04-01,2514
2014-04-01,2297
2014-04-01,3274
2014-04-01,1862
2014-04-01,3309
2014-04-01,2527
2014-04-01,3190
2014-04-01,3262
2014-04-01,3187
2014-04-01,2704
2014-04-01,3341
2014-04-01,2638
2014-04-01,2601
2014-04-01,820
2014-04-01,1686
2014-04-01,2916
2014-04-01,96
2014-04-01,256
2014-04-01,3340
2014-04-01,3146
2014-04-01,2030
2014-04-01,2907
2014-04-01,3020
2014-04-01,3112
2014-04-01,2438
2014-04-01,429
2014-04-01,3018
2014-04-01,642
2014-04-01,875
2014-04-01,262
2014-04-01,1732
2014-04-01,1433
2014-04-01,2874
2014-04-01,2732
2014-04-01,3359
2014-04-01,1013
2014-04-01,2394
2014-04-01,3420
2014-04-01,3312
2014-04-01,1475
2014-04-01,2487
2014-04-06,3037
2014-04-23,3556
2014-04-23,4022
2014-04-23,3975
2014-05-01,4035
2014-05-01,3392
